56,https://m.media-amazon.com/images/I/81qjywMl7YL._AC_UL320_.jpg,Kili Fashion
57,https://m.media-amazon.com/images/I/81qi7QCNSjL._AC_UL320_.jpg,Winza Designer
58,https://m.media-amazon.com/images/I/914PO780VmL._AC_UL320_.jpg,NITYA
59,https://m.media-amazon.com/images/I/91oV30GPCVL._AC_UL320_.jpg,NITYA
,image_urls,brands
0,https://m.media-amazon.com/images/I/51h5IHrJPKL._AC_UL320_.jpg,Generic
1,https://m.media-amazon.com/images/I/61leRYfPvrL._AC_UL320_.jpg,Tilki
2,https://m.media-amazon.com/images/I/81EVip9MSUL._AC_UL320_.jpg,Avisha
3,https://m.media-amazon.com/images/I/81zri8QKF8L._AC_UL320_.jpg,Avisha
4,https://m.media-amazon.com/images/I/9114kTDpPUL._AC_UL320_.jpg,ANNI DESIGNER
5,https://m.media-amazon.com/images/I/91NtqE1gRrL._AC_UL320_.jpg,Kashvi sarees
6,https://m.media-amazon.com/images/I/91lTzoBIE-L._AC_UL320_.jpg,Anand Sarees
7,https://m.media-amazon.com/images/I/916L16S-lmL._AC_UL320_.jpg,TAMAIRA FASHION
8,https://m.media-amazon.com/images/I/81YQ4TOE5kL._AC_UL320_.jpg,ANNI DESIGNER
9,https://m.media-amazon.com/images/I/61bnXOXNNML._AC_UL320_.jpg,Vaamsi
10,https://m.media-amazon.com/images/I/71-BCt0A7CL._AC_UL320_.jpg,Fashion Day
11,https://m.media-amazon.com/images/I/91Gw2s5+5KL._AC_UL320_.jpg,ishin
12,https://m.media-amazon.com/images/I/81QhclXBeEL._AC_UL320_.jpg,GoSriKi
13,https://m.media-amazon.com/images/I/818waCM6fIL._AC_UL320_.jpg,PERFECTBLUE
14,https://m.media-amazon.com/images/I/91FxKbxhurL._AC_UL320_.jpg,Vaamsi
15,https://m.media-amazon.com/images/I/81LjyV4BFoL._AC_UL320_.jpg,Kashvi sarees
16,https://m.media-amazon.com/images/I/81zQm4+FtKL._AC_UL320_.jpg,GoSriKi
17,https://m.media-amazon.com/images/I/914QbLphdqL._AC_UL320_.jpg,Vaamsi
18,https://m.media-amazon.com/images/I/91sJG3QtQnL._AC_UL320_.jpg,Vaamsi
19,https://m.media-amazon.com/images/I/81yBxlf-7KL._AC_UL320_.jpg,Bollyclues
20,https://m.media-amazon.com/images/I/81FBLgbFCsL._AC_UL320_.jpg,Kvsfab
21,https://m.media-amazon.com/images/I/71T2NSfMS2L._AC_UL320_.jpg,Vaamsi
22,https://m.media-amazon.com/images/I/91YTiL0ljVL._AC_UL320_.jpg,OOMPH!
23,https://m.media-amazon.com/images/I/71b5JqOaJcL._AC_UL320_.jpg,Kuvarba Fashion
24,https://m.media-amazon.com/images/I/61xFe9G7QtL._AC_UL320_.jpg,Amyaa Fashion
25,https://m.media-amazon.com/images/I/91K7kfay53L._AC_UL320_.jpg,ANNI DESIGNER
26,https://m.media-amazon.com/images/I/71MWiAnBMcL._AC_UL320_.jpg,GoSriKi
27,https://m.media-amazon.com/images/I/81+BdQPV9ML._AC_UL320_.jpg,ANNI DESIGNER
28,https://m.media-amazon.com/images/I/91zPQrn3oqL._AC_UL320_.jpg,Avisha
29,https://m.media-amazon.com/images/I/91oRZlTpyvL._AC_UL320_.jpg,Avisha
30,https://m.media-amazon.com/images/I/81qi7QCNSjL._AC_UL320_.jpg,Winza Designer
31,https://m.media-amazon.com/images/I/81qjywMl7YL._AC_UL320_.jpg,Kili Fashion
32,https://m.media-amazon.com/images/I/61BdPaJrxLL._AC_UL320_.jpg,Vaamsi
33,https://m.media-amazon.com/images/I/810YIASBFbL._AC_UL320_.jpg,PERFECTBLUE
34,https://m.media-amazon.com/images/I/9159OqlPYAL._AC_UL320_.jpg,Anand Sarees
35,https://m.media-amazon.com/images/I/91gd8AM2VOL._AC_UL320_.jpg,Market Magic World
36,https://m.media-amazon.com/images/I/81QOe4fOisL._AC_UL320_.jpg,ANNI DESIGNER
37,https://m.media-amazon.com/images/I/81iT3n6A9VL._AC_UL320_.jpg,GoSriKi
38,https://m.media-amazon.com/images/I/91q50B-8i2L._AC_UL320_.jpg,RANI SAAHIBA
39,https://m.media-amazon.com/images/I/816Ia+xesjL._AC_UL320_.jpg,Pavecha's
40,https://m.media-amazon.com/images/I/61eRq0YtC+L._AC_UL320_.jpg,KANCHNAR
41,https://m.media-amazon.com/images/I/610TX4NSSeL._AC_UL320_.jpg,Vaamsi
42,https://m.media-amazon.com/images/I/91zi7iIRi3L._AC_UL320_.jpg,SOURBH
43,https://m.media-amazon.com/images/I/61x6V6YZkWL._AC_UL320_.jpg,RAJESHWAR FASHION WITH RF
44,https://m.media-amazon.com/images/I/81HlwcMxRvL._AC_UL320_.jpg,RIVA ENTERPRISE
45,https://m.media-amazon.com/images/I/91-YLpp44oL._AC_UL320_.jpg,OOMPH!
46,https://m.media-amazon.com/images/I/41Xob5IeRxL._AC_UL320_.jpg,Generic
47,https://m.media-amazon.com/images/I/91Q16bqIO0L._AC_UL320_.jpg,TAMAIRA FASHION
48,https://m.media-amazon.com/images/I/61+tds73T7L._AC_UL320_.jpg,Amyaa Fashion
49,https://m.media-amazon.com/images/I/71CPfiKpWmL._AC_UL320_.jpg,Womanista
50,https://m.media-amazon.com/images/I/8193VjcJIpL._AC_UL320_.jpg,ANNI DESIGNER
51,https://m.media-amazon.com/images/I/81et7nKmZHL._AC_UL320_.jpg,PERFECTBLUE
52,https://m.media-amazon.com/images/I/81c7IFW488L._AC_UL320_.jpg,Anand Sarees
53,https://m.media-amazon.com/images/I/81G+ou9wplL._AC_UL320_.jpg,Anand Sarees
54,https://m.media-amazon.com/images/I/91rM4kTXW+L._AC_UL320_.jpg,Anand Sarees
55,https://m.media-amazon.com/images/I/71BwwiUAsLL._AC_UL320_.jpg,Vaamsi
56,https://m.media-amazon.com/images/I/91gaklZa0RL._AC_UL320_.jpg,UrbanBunai
57,https://m.media-amazon.com/images/I/91oV30GPCVL._AC_UL320_.jpg,NITYA
58,https://m.media-amazon.com/images/I/61OWlK6WY9L._AC_UL320_.jpg,Generic
59,https://m.media-amazon.com/images/I/914PO780VmL._AC_UL320_.jpg,NITYA
,image_urls,brands
0,https://m.media-amazon.com/images/I/51h5IHrJPKL._AC_UL320_.jpg,Generic
1,https://m.media-amazon.com/images/I/61leRYfPvrL._AC_UL320_.jpg,Tilki
2,https://m.media-amazon.com/images/I/81EVip9MSUL._AC_UL320_.jpg,Avisha
3,https://m.media-amazon.com/images/I/81zri8QKF8L._AC_UL320_.jpg,Avisha
4,https://m.media-amazon.com/images/I/71gS9nADNeL._AC_UL320_.jpg,ANNI DESIGNER
